date,away_team,away_score,home_score,home_team
2023-05-06,Chicago White Sox,3,5,Cincinnati Reds
2023-05-06,Oakland Athletics,5,4,Kansas City Royals
2023-05-06,Boston Red Sox,7,4,Philadelphia Phillies
2023-05-06,Baltimore Orioles,4,5,Atlanta Braves
2023-05-06,Milwaukee Brewers,1,4,San Francisco Giants
2023-05-06,Washington Nationals,7,8,Arizona Diamondbacks
2023-05-06,Los Angeles Dodgers,2,1,San Diego Padres
2023-05-06,Texas Rangers,10,1,Los Angeles Angels
2023-05-06,Houston Astros,5,7,Seattle Mariners
2023-05-07,Baltimore Orioles,2,3,Atlanta Braves
2023-05-07,Toronto Blue Jays,10,1,Pittsburgh Pirates
2023-05-07,Boston Red Sox,1,6,Philadelphia Phillies
2023-05-07,Colorado Rockies,13,6,New York Mets
2023-05-07,Minnesota Twins,0,2,Cleveland Guardians
2023-05-07,New York Yankees,7,8,Tampa Bay Rays
2023-05-07,Oakland Athletics,1,5,Kansas City Royals
2023-05-07,Detroit Tigers,6,12,St. Louis Cardinals
2023-05-07,Miami Marlins,5,4,Chicago Cubs
2023-05-07,Milwaukee Brewers,7,3,San Francisco Giants
2023-05-07,Texas Rangers,16,8,Los Angeles Angels
2023-05-07,Washington Nationals,9,8,Arizona Diamondbacks
2023-05-07,Houston Astros,1,3,Seattle Mariners
2023-05-07,Chicago White Sox,17,4,Cincinnati Reds
2023-05-07,Los Angeles Dodgers,5,2,San Diego Padres
2023-05-08,Detroit Tigers,6,2,Cleveland Guardians
2023-05-08,Colorado Rockies,0,2,Pittsburgh Pirates
2023-05-08,Tampa Bay Rays,3,0,Baltimore Orioles
2023-05-08,Oakland Athletics,2,7,New York Yankees
2023-05-08,St. Louis Cardinals,3,1,Chicago Cubs
2023-05-08,Chicago White Sox,5,12,Kansas City Royals
2023-05-08,Los Angeles Dodgers,3,9,Milwaukee Brewers
2023-05-08,Houston Astros,4,6,Los Angeles Angels
2023-05-08,Texas Rangers,2,1,Seattle Mariners
2023-05-08,Miami Marlins,2,5,Arizona Diamondbacks
2023-05-08,Washington Nationals,5,1,San Francisco Giants
2023-05-09,Detroit Tigers,0,2,Cleveland Guardians
2023-05-09,Colorado Rockies,10,1,Pittsburgh Pirates
2023-05-09,Tampa Bay Rays,2,4,Baltimore Orioles
2023-05-09,New York Mets,6,7,Cincinnati Reds
2023-05-09,Toronto Blue Jays,4,8,Philadelphia Phillies
2023-05-09,Oakland Athletics,5,10,New York Yankees
2023-05-09,Boston Red Sox,3,9,Atlanta Braves
2023-05-09,St. Louis Cardinals,6,4,Chicago Cubs
2023-05-09,San Diego Padres,6,1,Minnesota Twins
2023-05-09,Chicago White Sox,4,2,Kansas City Royals
2023-05-09,Los Angeles Dodgers,6,2,Milwaukee Brewers
2023-05-09,Houston Astros,3,1,Los Angeles Angels
2023-05-09,Texas Rangers,0,5,Seattle Mariners
2023-05-09,Miami Marlins,6,2,Arizona Diamondbacks
2023-05-09,Washington Nationals,1,4,San Francisco Giants
2023-05-10,Colorado Rockies,4,3,Pittsburgh Pirates
2023-05-10,Oakland Athletics,3,11,New York Yankees
2023-05-10,Detroit Tigers,5,0,Cleveland Guardians
2023-05-10,Los Angeles Dodgers,8,1,Milwaukee Brewers
2023-05-10,Texas Rangers,4,3,Seattle Mariners
2023-05-10,Miami Marlins,5,4,Arizona Diamondbacks
2023-05-10,Washington Nationals,11,6,San Francisco Giants
2023-05-10,Toronto Blue Jays,1,2,Philadelphia Phillies
2023-05-10,Houston Astros,5,4,Los Angeles Angels
2023-05-10,Tampa Bay Rays,1,2,Baltimore Orioles
2023-05-10,New York Mets,2,1,Cincinnati Reds
2023-05-10,Boston Red Sox,5,2,Atlanta Braves
2023-05-10,St. Louis Cardinals,4,10,Chicago Cubs
2023-05-10,San Diego Padres,3,4,Minnesota Twins
2023-05-10,Chicago White Sox,1,9,Kansas City Royals
2023-05-11,New York Mets,0,5,Cincinnati Reds
2023-05-11,San Diego Padres,3,5,Minnesota Twins
2023-05-11,Chicago White Sox,3,4,Kansas City Royals
2023-05-11,Tampa Bay Rays,8,2,New York Yankees
2023-05-11,San Francisco Giants,6,2,Arizona Diamondbacks
2023-05-11,Texas Rangers,4,0,Oakland Athletics
2023-05-12,Seattle Mariners,9,2,Detroit Tigers
2023-05-12,Cincinnati Reds,7,4,Miami Marlins
2023-05-12,New York Mets,3,2,Washington Nationals
2023-05-12,Pittsburgh Pirates,3,6,Baltimore Orioles
2023-05-12,Tampa Bay Rays,5,6,New York Yankees
2023-05-12,Atlanta Braves,0,3,Toronto Blue Jays
2023-05-12,Los Angeles Angels,5,4,Cleveland Guardians
2023-05-12,St. Louis Cardinals,8,6,Boston Red Sox
2023-05-12,Chicago Cubs,6,2,Minnesota Twins
2023-05-12,Houston Astros,5,1,Chicago White Sox
2023-05-12,Kansas City Royals,1,5,Milwaukee Brewers
2023-05-12,Philadelphia Phillies,6,3,Colorado Rockies
2023-05-12,San Francisco Giants,5,7,Arizona Diamondbacks
2023-05-12,Texas Rangers,7,9,Oakland Athletics
2023-05-12,San Diego Padres,2,4,Los Angeles Dodgers
2023-05-13,Tampa Bay Rays,8,9,New York Yankees
2023-05-13,Seattle Mariners,5,0,Detroit Tigers
2023-05-13,Cincinnati Reds,6,5,Miami Marlins
2023-05-13,Chicago Cubs,1,11,Minnesota Twins
2023-05-13,Atlanta Braves,2,5,Toronto Blue Jays
2023-05-13,New York Mets,2,3,Washington Nationals
2023-05-13,Texas Rangers,5,0,Oakland Athletics
2023-05-13,St. Louis Cardinals,4,3,Boston Red Sox
2023-05-13,Los Angeles Angels,6,8,Cleveland Guardians
2023-05-13,Pittsburgh Pirates,0,2,Baltimore Orioles
2023-05-13,Kansas City Royals,3,4,Milwaukee Brewers
2023-05-13,San Diego Padres,2,4,Los Angeles Dodgers
2023-05-13,Houston Astros,1,3,Chicago White Sox
2023-05-13,San Francisco Giants,2,7,Arizona Diamondbacks
2023-05-13,Philadelphia Phillies,7,4,Colorado Rockies
2023-05-14,Los Angeles Angels,3,4,Cleveland Guardians
2023-05-14,New York Mets,2,3,Washington Nationals
2023-05-14,Pittsburgh Pirates,4,0,Baltimore Orioles
2023-05-14,Tampa Bay Rays,8,7,New York Yankees
2023-05-14,Atlanta Braves,5,6,Toronto Blue Jays
2023-05-14,Seattle Mariners,3,5,Detroit Tigers
2023-05-14,Cincinnati Reds,1,3,Miami Marlins
2023-05-14,Chicago Cubs,3,16,Minnesota Twins
2023-05-14,Houston Astros,4,3,Chicago White Sox
2023-05-14,Kansas City Royals,6,9,Milwaukee Brewers
2023-05-14,Philadelphia Phillies,0,4,Colorado Rockies
2023-05-14,Texas Rangers,11,3,Oakland Athletics
2023-05-14,San Diego Padres,0,4,Los Angeles Dodgers
2023-05-14,San Francisco Giants,1,2,Arizona Diamondbacks
2023-05-14,New York Mets,8,2,Washington Nationals
2023-05-14,St. Louis Cardinals,9,1,Boston Red Sox
2023-05-15,New York Mets,3,10,Washington Nationals
2023-05-15,Los Angeles Angels,9,5,Baltimore Orioles
2023-05-15,New York Yankees,7,4,Toronto Blue Jays
2023-05-15,Seattle Mariners,10,1,Boston Red Sox
2023-05-15,Milwaukee Brewers,1,18,St. Louis Cardinals
2023-05-15,Atlanta Braves,12,0,Texas Rangers
2023-05-15,Chicago Cubs,4,6,Houston Astros
2023-05-15,Cincinnati Reds,8,9,Colorado Rockies
2023-05-15,Arizona Diamondbacks,5,2,Oakland Athletics
2023-05-15,Kansas City Royals,0,4,San Diego Padres
2023-05-15,Philadelphia Phillies,3,6,San Francisco Giants
2023-05-15,Minnesota Twins,8,9,Los Angeles Dodgers
2023-05-16,Los Angeles Angels,3,7,Baltimore Orioles
2023-05-16,Pittsburgh Pirates,0,4,Detroit Tigers
2023-05-16,Washington Nationals,4,5,Miami Marlins
2023-05-16,New York Yankees,6,3,Toronto Blue Jays
2023-05-16,Seattle Mariners,4,9,Boston Red Sox
2023-05-16,Tampa Bay Rays,8,5,New York Mets
2023-05-16,Milwaukee Brewers,3,2,St. Louis Cardinals
2023-05-16,Atlanta Braves,4,7,Texas Rangers
2023-05-16,Chicago Cubs,3,7,Houston Astros
2023-05-16,Cleveland Guardians,3,8,Chicago White Sox
2023-05-16,Cincinnati Reds,3,1,Colorado Rockies
2023-05-16,Arizona Diamondbacks,8,9,Oakland Athletics
2023-05-16,Kansas City Royals,5,4,San Diego Padres
2023-05-16,Philadelphia Phillies,3,4,San Francisco Giants
2023-05-16,Minnesota Twins,5,1,Los Angeles Dodgers
2023-05-17,Pittsburgh Pirates,8,0,Detroit Tigers
2023-05-17,Cincinnati Reds,6,11,Colorado Rockies
2023-05-17,Minnesota Twins,3,7,Los Angeles Dodgers
2023-05-17,Arizona Diamondbacks,5,3,Oakland Athletics
2023-05-17,Philadelphia Phillies,4,7,San Francisco Giants
2023-05-17,Kansas City Royals,4,3,San Diego Padres
2023-05-17,Los Angeles Angels,1,3,Baltimore Orioles
2023-05-17,Washington Nationals,3,4,Miami Marlins
2023-05-17,New York Yankees,0,3,Toronto Blue Jays
2023-05-17,Seattle Mariners,3,12,Boston Red Sox
2023-05-17,Tampa Bay Rays,7,8,New York Mets
2023-05-17,Milwaukee Brewers,0,3,St. Louis Cardinals
2023-05-17,Atlanta Braves,6,5,Texas Rangers
2023-05-17,Chicago Cubs,6,7,Houston Astros
2023-05-17,Cleveland Guardians,2,7,Chicago White Sox
2023-05-18,Los Angeles Angels,6,5,Baltimore Orioles
2023-05-18,Tampa Bay Rays,2,3,New York Mets
2023-05-18,Washington Nationals,3,5,Miami Marlins
2023-05-18,Cleveland Guardians,3,1,Chicago White Sox
2023-05-18,New York Yankees,4,2,Toronto Blue Jays
2023-05-18,Los Angeles Dodgers,8,16,St. Louis Cardinals
2023-05-19,Arizona Diamondbacks,3,13,Pittsburgh Pirates
2023-05-19,New York Yankees,6,2,Cincinnati Reds
2023-05-19,Milwaukee Brewers,0,1,Tampa Bay Rays
2023-05-19,Detroit Tigers,8,6,Washington Nationals
2023-05-19,Chicago Cubs,10,1,Philadelphia Phillies
2023-05-19,Baltimore Orioles,6,2,Toronto Blue Jays
2023-05-19,Cleveland Guardians,9,10,New York Mets
2023-05-19,Seattle Mariners,2,6,Atlanta Braves
2023-05-19,Colorado Rockies,2,7,Texas Rangers
2023-05-19,Oakland Athletics,1,5,Houston Astros
2023-05-19,Kansas City Royals,0,2,Chicago White Sox
2023-05-19,Los Angeles Dodgers,5,0,St. Louis Cardinals
2023-05-19,Minnesota Twins,4,5,Los Angeles Angels
2023-05-19,Boston Red Sox,6,1,San Diego Padres
2023-05-19,Miami Marlins,3,4,San Francisco Giants
2023-05-20,Kansas City Royals,1,5,Chicago White Sox
2023-05-20,Baltimore Orioles,6,5,Toronto Blue Jays
2023-05-20,Detroit Tigers,2,5,Washington Nationals
2023-05-20,Arizona Diamondbacks,4,3,Pittsburgh Pirates
2023-05-20,Colorado Rockies,5,11,Texas Rangers
2023-05-20,Chicago Cubs,3,12,Philadelphia Phillies
2023-05-20,Miami Marlins,1,0,San Francisco Giants
2023-05-20,Oakland Athletics,2,3,Houston Astros
2023-05-20,New York Yankees,7,4,Cincinnati Reds
2023-05-20,Milwaukee Brewers,4,8,Tampa Bay Rays
2023-05-20,Los Angeles Dodgers,5,6,St. Louis Cardinals
2023-05-20,Seattle Mariners,7,3,Atlanta Braves
2023-05-20,Minnesota Twins,6,2,Los Angeles Angels
2023-05-20,Boston Red Sox,4,2,San Diego Padres
2023-05-21,New York Yankees,4,1,Cincinnati Reds
2023-05-21,Detroit Tigers,4,6,Washington Nationals
2023-05-21,Arizona Diamondbacks,8,3,Pittsburgh Pirates
2023-05-21,Chicago Cubs,1,2,Philadelphia Phillies
2023-05-21,Seattle Mariners,2,3,Atlanta Braves
2023-05-21,Baltimore Orioles,8,3,Toronto Blue Jays
2023-05-21,Cleveland Guardians,4,5,New York Mets
2023-05-21,Cleveland Guardians,1,2,New York Mets
2023-05-21,Milwaukee Brewers,6,4,Tampa Bay Rays
2023-05-21,Oakland Athletics,0,2,Houston Astros
2023-05-21,Kansas City Royals,2,5,Chicago White Sox
2023-05-21,Los Angeles Dodgers,5,10,St. Louis Cardinals
2023-05-21,Colorado Rockies,3,13,Texas Rangers
2023-05-21,Miami Marlins,5,7,San Francisco Giants
2023-05-21,Minnesota Twins,2,4,Los Angeles Angels
2023-05-21,Boston Red Sox,0,7,San Diego Padres
2023-05-22,Chicago White Sox,0,3,Cleveland Guardians
2023-05-22,Texas Rangers,4,6,Pittsburgh Pirates
2023-05-22,St. Louis Cardinals,5,6,Cincinnati Reds
2023-05-22,Toronto Blue Jays,4,6,Tampa Bay Rays
2023-05-22,Arizona Diamondbacks,6,3,Philadelphia Phillies
2023-05-22,Los Angeles Dodgers,8,6,Atlanta Braves
2023-05-22,Detroit Tigers,8,5,Kansas City Royals
2023-05-22,San Francisco Giants,4,1,Minnesota Twins
2023-05-22,Houston Astros,12,2,Milwaukee Brewers
2023-05-22,Miami Marlins,3,5,Colorado Rockies
2023-05-22,Boston Red Sox,1,2,Los Angeles Angels
2023-05-22,Oakland Athletics,2,11,Seattle Mariners
2023-05-23,Chicago White Sox,4,2,Cleveland Guardians
2023-05-23,Texas Rangers,6,1,Pittsburgh Pirates
2023-05-23,St. Louis Cardinals,8,5,Cincinnati Reds
2023-05-23,Toronto Blue Jays,20,1,Tampa Bay Rays
2023-05-23,Arizona Diamondbacks,4,3,Philadelphia Phillies
2023-05-23,San Diego Padres,7,4,Washington Nationals
2023-05-23,Baltimore Orioles,5,6,New York Yankees
2023-05-23,Los Angeles Dodgers,8,1,Atlanta Braves
2023-05-23,Detroit Tigers,1,4,Kansas City Royals
2023-05-23,New York Mets,2,7,Chicago Cubs
2023-05-23,San Francisco Giants,4,3,Minnesota Twins
2023-05-23,Houston Astros,0,6,Milwaukee Brewers
2023-05-23,Miami Marlins,4,5,Colorado Rockies
2023-05-23,Boston Red Sox,0,4,Los Angeles Angels
2023-05-23,Oakland Athletics,2,3,Seattle Mariners
2023-05-24,Texas Rangers,3,2,Pittsburgh Pirates
2023-05-24,Arizona Diamondbacks,5,6,Philadelphia Phillies
2023-05-24,San Francisco Giants,1,7,Minnesota Twins
2023-05-24,Chicago White Sox,6,0,Cleveland Guardians
2023-05-24,Houston Astros,0,4,Milwaukee Brewers
2023-05-24,St. Louis Cardinals,3,10,Cincinnati Reds
2023-05-24,Toronto Blue Jays,3,7,Tampa Bay Rays
2023-05-24,San Diego Padres,3,5,Washington Nationals
2023-05-24,Baltimore Orioles,9,6,New York Yankees
2023-05-24,Los Angeles Dodgers,3,4,Atlanta Braves
2023-05-24,Detroit Tigers,6,4,Kansas City Royals
2023-05-24,New York Mets,2,4,Chicago Cubs
2023-05-24,Miami Marlins,10,2,Colorado Rockies
2023-05-24,Boston Red Sox,3,7,Los Angeles Angels
2023-05-24,Oakland Athletics,1,6,Seattle Mariners
2023-05-25,St. Louis Cardinals,2,1,Cincinnati Reds
2023-05-25,Toronto Blue Jays,3,6,Tampa Bay Rays
2023-05-25,Miami Marlins,6,7,Colorado Rockies
2023-05-25,San Diego Padres,8,6,Washington Nationals
2023-05-25,Chicago White Sox,2,7,Detroit Tigers
2023-05-25,Baltimore Orioles,3,1,New York Yankees
2023-05-25,Philadelphia Phillies,5,8,Atlanta Braves
2023-05-25,New York Mets,10,1,Chicago Cubs
2023-05-25,San Francisco Giants,5,0,Milwaukee Brewers
2023-05-25,Oakland Athletics,2,3,Seattle Mariners
2023-05-26,Cincinnati Reds,9,0,Chicago Cubs
2023-05-26,Los Angeles Dodgers,3,9,Tampa Bay Rays
2023-05-26,Chicago White Sox,12,3,Detroit Tigers
2023-05-26,Texas Rangers,12,2,Baltimore Orioles
2023-05-26,San Diego Padres,5,1,New York Yankees
2023-05-26,St. Louis Cardinals,3,4,Cleveland Guardians
2023-05-26,Philadelphia Phillies,6,4,Atlanta Braves
2023-05-26,Washington Nationals,12,10,Kansas City Royals
2023-05-26,Toronto Blue Jays,3,1,Minnesota Twins
2023-05-26,San Francisco Giants,15,1,Milwaukee Brewers
2023-05-26,New York Mets,5,2,Colorado Rockies
2023-05-26,Miami Marlins,6,2,Los Angeles Angels
2023-05-26,Boston Red Sox,7,2,Arizona Diamondbacks
2023-05-26,Houston Astros,5,2,Oakland Athletics
2023-05-26,Pittsburgh Pirates,11,6,Seattle Mariners
2023-05-27,San Diego Padres,2,3,New York Yankees
2023-05-27,Chicago White Sox,3,7,Detroit Tigers
2023-05-27,Toronto Blue Jays,7,9,Minnesota Twins
2023-05-27,Texas Rangers,5,3,Baltimore Orioles
2023-05-27,Houston Astros,6,3,Oakland Athletics
2023-05-27,Washington Nationals,4,2,Kansas City Royals
2023-05-27,Pittsburgh Pirates,0,5,Seattle Mariners
2023-05-27,Los Angeles Dodgers,6,5,Tampa Bay Rays
2023-05-27,Philadelphia Phillies,2,1,Atlanta Braves
2023-05-27,San Francisco Giants,3,1,Milwaukee Brewers
2023-05-27,Boston Red Sox,2,1,Arizona Diamondbacks
2023-05-27,Cincinnati Reds,8,5,Chicago Cubs
2023-05-27,St. Louis Cardinals,2,1,Cleveland Guardians
2023-05-27,New York Mets,7,10,Colorado Rockies
2023-05-27,Miami Marlins,8,5,Los Angeles Angels
2023-05-28,Los Angeles Dodgers,10,11,Tampa Bay Rays
2023-05-28,Texas Rangers,2,3,Baltimore Orioles
2023-05-28,San Diego Padres,7,10,New York Yankees
2023-05-28,St. Louis Cardinals,3,4,Cleveland Guardians
2023-05-28,Chicago White Sox,5,6,Detroit Tigers
2023-05-28,Washington Nationals,2,3,Kansas City Royals
2023-05-28,Toronto Blue Jays,3,0,Minnesota Twins
2023-05-28,San Francisco Giants,5,7,Milwaukee Brewers
2023-05-28,Cincinnati Reds,8,5,Chicago Cubs
2023-05-28,New York Mets,10,11,Colorado Rockies
2023-05-28,Houston Astros,10,1,Oakland Athletics
2023-05-28,Miami Marlins,2,0,Los Angeles Angels
2023-05-28,Boston Red Sox,2,4,Arizona Diamondbacks
2023-05-28,Pittsburgh Pirates,3,6,Seattle Mariners
2023-05-28,Philadelphia Phillies,4,11,Atlanta Braves
2023-05-29,Cleveland Guardians,5,0,Baltimore Orioles
2023-05-29,Texas Rangers,5,0,Detroit Tigers
2023-05-29,Kansas City Royals,7,0,St. Louis Cardinals
2023-05-29,Tampa Bay Rays,0,1,Chicago Cubs
2023-05-29,Colorado Rockies,5,7,Arizona Diamondbacks
2023-05-29,Minnesota Twins,7,5,Houston Astros
2023-05-29,Pittsburgh Pirates,4,14,San Francisco Giants
2023-05-29,Atlanta Braves,2,7,Oakland Athletics
2023-05-29,Los Angeles Angels,6,4,Chicago White Sox
2023-05-29,Washington Nationals,1,6,Los Angeles Dodgers
2023-05-29,New York Yankees,10,4,Seattle Mariners
2023-05-30,Texas Rangers,10,6,Detroit Tigers
2023-05-30,San Diego Padres,9,4,Miami Marlins
2023-05-30,Cleveland Guardians,5,8,Baltimore Orioles
2023-05-30,Milwaukee Brewers,2,7,Toronto Blue Jays
2023-05-30,Cincinnati Reds,9,8,Boston Red Sox
2023-05-30,Philadelphia Phillies,0,2,New York Mets
2023-05-30,Kansas City Royals,1,2,St. Louis Cardinals
2023-05-30,Tampa Bay Rays,1,2,Chicago Cubs
2023-05-30,Minnesota Twins,1,5,Houston Astros
2023-05-30,Los Angeles Angels,3,7,Chicago White Sox
2023-05-30,Colorado Rockies,1,5,Arizona Diamondbacks
2023-05-30,Atlanta Braves,1,2,Oakland Athletics
2023-05-30,New York Yankees,10,2,Seattle Mariners
2023-05-30,Pittsburgh Pirates,2,1,San Francisco Giants
2023-05-30,Washington Nationals,3,9,Los Angeles Dodgers
2023-05-31,Texas Rangers,2,3,Detroit Tigers
2023-05-31,Los Angeles Angels,12,5,Chicago White Sox
2023-05-31,Tampa Bay Rays,4,3,Chicago Cubs
2023-05-31,Cleveland Guardians,12,8,Baltimore Orioles
2023-05-31,Atlanta Braves,4,2,Oakland Athletics
2023-05-31,Pittsburgh Pirates,9,4,San Francisco Giants
2023-05-31,Washington Nationals,10,6,Los Angeles Dodgers
2023-05-31,San Diego Padres,1,2,Miami Marlins
2023-05-31,Milwaukee Brewers,4,2,Toronto Blue Jays
2023-05-31,Cincinnati Reds,5,4,Boston Red Sox
2023-05-31,Philadelphia Phillies,1,4,New York Mets
2023-05-31,Minnesota Twins,8,2,Houston Astros
2023-05-31,Colorado Rockies,0,6,Arizona Diamondbacks
2023-05-31,New York Yankees,0,1,Seattle Mariners
2023-06-01,Milwaukee Brewers,1,3,Toronto Blue Jays
2023-06-01,Philadelphia Phillies,2,4,New York Mets
2023-06-01,San Diego Padres,10,1,Miami Marlins
2023-06-01,Colorado Rockies,4,5,Arizona Diamondbacks
2023-06-01,Cincinnati Reds,2,8,Boston Red Sox
2023-06-01,Cleveland Guardians,6,7,Minnesota Twins
2023-06-01,Los Angeles Angels,2,5,Houston Astros
2023-06-02,Milwaukee Brewers,5,4,Cincinnati Reds
2023-06-02,Oakland Athletics,0,4,Miami Marlins
2023-06-02,St. Louis Cardinals,5,7,Pittsburgh Pirates
2023-06-02,Philadelphia Phillies,7,8,Washington Nationals
2023-06-02,Toronto Blue Jays,3,0,New York Mets
2023-06-02,Seattle Mariners,0,2,Texas Rangers
2023-06-02,Los Angeles Angels,2,6,Houston Astros
2023-06-02,Colorado Rockies,7,2,Kansas City Royals
2023-06-02,Cleveland Guardians,0,1,Minnesota Twins
2023-06-02,Detroit Tigers,0,3,Chicago White Sox
2023-06-02,Chicago Cubs,2,1,San Diego Padres
2023-06-02,Atlanta Braves,2,3,Arizona Diamondbacks
2023-06-02,New York Yankees,4,8,Los Angeles Dodgers
2023-06-02,Baltimore Orioles,3,2,San Francisco Giants
2023-06-03,Tampa Bay Rays,5,8,Boston Red Sox
2023-06-03,Tampa Bay Rays,4,2,Boston Red Sox
2023-06-03,Detroit Tigers,1,2,Chicago White Sox
2023-06-03,St. Louis Cardinals,3,4,Pittsburgh Pirates
2023-06-03,Seattle Mariners,6,16,Texas Rangers
2023-06-03,Philadelphia Phillies,4,2,Washington Nationals
2023-06-03,Los Angeles Angels,6,9,Houston Astros
2023-06-03,Colorado Rockies,6,4,Kansas City Royals
2023-06-03,Toronto Blue Jays,2,1,New York Mets
2023-06-03,Oakland Athletics,1,12,Miami Marlins
2023-06-03,Milwaukee Brewers,10,8,Cincinnati Reds
2023-06-03,Cleveland Guardians,4,2,Minnesota Twins
2023-06-03,New York Yankees,6,3,Los Angeles Dodgers
2023-06-03,Baltimore Orioles,0,4,San Francisco Giants
2023-06-03,Chicago Cubs,0,6,San Diego Padres
2023-06-03,Atlanta Braves,5,2,Arizona Diamondbacks
2023-06-04,St. Louis Cardinals,1,2,Pittsburgh Pirates
2023-06-04,Tampa Bay Rays,6,2,Boston Red Sox
2023-06-04,Philadelphia Phillies,11,3,Washington Nationals
2023-06-04,Toronto Blue Jays,6,4,New York Mets
2023-06-04,Oakland Athletics,5,7,Miami Marlins
2023-06-04,Milwaukee Brewers,5,1,Cincinnati Reds
2023-06-04,Los Angeles Angels,2,1,Houston Astros
2023-06-04,Colorado Rockies,0,2,Kansas City Royals
2023-06-04,Cleveland Guardians,2,1,Minnesota Twins
2023-06-04,Detroit Tigers,2,6,Chicago White Sox
2023-06-04,Seattle Mariners,3,12,Texas Rangers
2023-06-04,Baltimore Orioles,8,3,San Francisco Giants
2023-06-04,Atlanta Braves,8,5,Arizona Diamondbacks
2023-06-04,Chicago Cubs,7,1,San Diego Padres
2023-06-04,New York Yankees,4,1,Los Angeles Dodgers
2023-06-05,Tampa Bay Rays,4,1,Boston Red Sox
2023-06-05,Detroit Tigers,3,8,Philadelphia Phillies
2023-06-05,Kansas City Royals,6,9,Miami Marlins
2023-06-05,Oakland Athletics,4,5,Pittsburgh Pirates
2023-06-05,Houston Astros,11,4,Toronto Blue Jays
2023-06-05,Milwaukee Brewers,0,2,Cincinnati Reds
2023-06-05,St. Louis Cardinals,3,4,Texas Rangers
2023-06-05,Chicago Cubs,0,5,San Diego Padres
2023-06-06,Minnesota Twins,0,7,Tampa Bay Rays
2023-06-06,Detroit Tigers,0,1,Philadelphia Phillies
2023-06-06,Kansas City Royals,1,6,Miami Marlins
2023-06-06,Arizona Diamondbacks,10,5,Washington Nationals
2023-06-06,Oakland Athletics,11,2,Pittsburgh Pirates
2023-06-06,Chicago White Sox,3,2,New York Yankees
2023-06-06,Houston Astros,1,5,Toronto Blue Jays
2023-06-06,Boston Red Sox,5,4,Cleveland Guardians
2023-06-06,Los Angeles Dodgers,8,9,Cincinnati Reds
2023-06-06,New York Mets,4,6,Atlanta Braves
2023-06-06,Baltimore Orioles,3,4,Milwaukee Brewers
2023-06-06,St. Louis Cardinals,4,6,Texas Rangers
2023-06-06,San Francisco Giants,10,4,Colorado Rockies
2023-06-06,Chicago Cubs,4,7,Los Angeles Angels
2023-06-06,Seattle Mariners,4,1,San Diego Padres
2023-06-07,Oakland Athletics,9,5,Pittsburgh Pirates
2023-06-07,Seattle Mariners,3,10,San Diego Padres
2023-06-07,Kansas City Royals,1,6,Miami Marlins
2023-06-07,Minnesota Twins,1,2,Tampa Bay Rays
2023-06-07,Arizona Diamondbacks,6,2,Washington Nationals
2023-06-07,Houston Astros,2,3,Toronto Blue Jays
2023-06-07,Boston Red Sox,2,5,Cleveland Guardians
2023-06-07,Los Angeles Dodgers,6,8,Cincinnati Reds
2023-06-07,New York Mets,5,7,Atlanta Braves
2023-06-07,Baltimore Orioles,2,10,Milwaukee Brewers
2023-06-07,St. Louis Cardinals,1,0,Texas Rangers
2023-06-07,San Francisco Giants,5,4,Colorado Rockies
2023-06-07,Chicago Cubs,2,6,Los Angeles Angels
2023-06-08,Los Angeles Dodgers,6,0,Cincinnati Reds
2023-06-08,Minnesota Twins,2,4,Tampa Bay Rays
2023-06-08,Baltimore Orioles,6,3,Milwaukee Brewers
2023-06-08,San Francisco Giants,6,4,Colorado Rockies
2023-06-08,Chicago White Sox,6,5,New York Yankees
2023-06-08,Chicago White Sox,0,3,New York Yankees
2023-06-08,Detroit Tigers,2,3,Philadelphia Phillies
2023-06-08,Houston Astros,2,3,Toronto Blue Jays
2023-06-08,Boston Red Sox,3,10,Cleveland Guardians
2023-06-08,New York Mets,10,13,Atlanta Braves
2023-06-08,Chicago Cubs,1,3,Los Angeles Angels
2023-06-09,Arizona Diamondbacks,11,6,Detroit Tigers
2023-06-09,Texas Rangers,3,8,Tampa Bay Rays
2023-06-09,Kansas City Royals,2,3,Baltimore Orioles
2023-06-09,New York Mets,7,14,Pittsburgh Pirates
2023-06-09,Los Angeles Dodgers,4,5,Philadelphia Phillies
2023-06-09,Boston Red Sox,3,2,New York Yankees
2023-06-09,Minnesota Twins,3,2,Toronto Blue Jays
2023-06-09,Houston Astros,9,10,Cleveland Guardians
2023-06-09,Washington Nationals,2,3,Atlanta Braves
2023-06-09,Miami Marlins,1,2,Chicago White Sox
2023-06-09,Oakland Athletics,5,2,Milwaukee Brewers
2023-06-09,Cincinnati Reds,4,7,St. Louis Cardinals
2023-06-09,San Diego Padres,9,6,Colorado Rockies
2023-06-09,Seattle Mariners,4,5,Los Angeles Angels
2023-06-09,Chicago Cubs,3,2,San Francisco Giants
2023-06-10,Arizona Diamondbacks,5,0,Detroit Tigers
2023-06-10,Miami Marlins,5,1,Chicago White Sox
2023-06-10,Cincinnati Reds,8,4,St. Louis Cardinals
2023-06-10,Minnesota Twins,9,4,Toronto Blue Jays
2023-06-10,San Diego Padres,3,2,Colorado Rockies
2023-06-10,Kansas City Royals,1,6,Baltimore Orioles
2023-06-10,New York Mets,5,1,Pittsburgh Pirates
2023-06-10,Los Angeles Dodgers,9,0,Philadelphia Phillies
